Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
linear,socket,18,8,3.69
linear,socket,18,16,3.88
linear,socket,18,32,4.32
linear,socket,18,64,4.16
linear,socket,18,128,8.73
linear,socket,18,256,7.52
linear,socket,18,512,7.44
linear,socket,18,1024,7.99
linear,socket,18,2048,12.31
linear,socket,19,1,3.39
linear,socket,19,2,3.49
linear,socket,19,4,3.81
linear,socket,19,8,3.71
linear,socket,19,16,3.58
linear,socket,19,32,3.93
linear,socket,19,64,3.88
linear,socket,19,128,7.38
linear,socket,19,256,7.67
linear,socket,19,512,8.09
linear,socket,19,1024,8.86
linear,socket,19,2048,12.83
linear,socket,20,1,3.52
linear,socket,20,2,3.64
linear,socket,20,4,3.64
linear,socket,20,8,3.56
linear,socket,20,16,3.59
linear,socket,20,32,3.87
linear,socket,20,64,3.91
linear,socket,20,128,7.57
linear,socket,20,256,7.95
linear,socket,20,512,8.35
linear,socket,20,1024,9.53
linear,socket,20,2048,13.92
linear,socket,21,1,3.74
linear,socket,21,2,3.82
linear,socket,21,4,3.87
linear,socket,21,8,3.90
linear,socket,21,16,3.75
linear,socket,21,32,4.23
linear,socket,21,64,4.21
linear,socket,21,128,8.29
linear,socket,21,256,8.47
linear,socket,21,512,8.95
linear,socket,21,1024,10.04
linear,socket,21,2048,13.90
linear,socket,22,1,3.53
linear,socket,22,2,3.59
linear,socket,22,4,3.71
linear,socket,22,8,3.78
linear,socket,22,16,3.92
linear,socket,22,32,4.26
linear,socket,22,64,4.23
linear,socket,22,128,8.25
linear,socket,22,256,8.49
linear,socket,22,512,8.95
linear,socket,22,1024,9.85
linear,socket,22,2048,14.81
linear,socket,23,1,4.33
linear,socket,23,2,4.41
linear,socket,23,4,4.19
linear,socket,23,8,4.18
linear,socket,23,16,4.23
linear,socket,23,32,4.64
linear,socket,23,64,4.53
linear,socket,23,128,8.79
linear,socket,23,256,9.00
linear,socket,23,512,9.41
linear,socket,23,1024,10.59
linear,socket,23,2048,15.74
linear,socket,24,1,4.42
linear,socket,24,2,4.22
linear,socket,24,4,4.20
linear,socket,24,8,4.14
linear,socket,24,16,4.24
linear,socket,24,32,4.54
linear,socket,24,64,4.65
linear,socket,24,128,9.02
linear,socket,24,256,9.29
linear,socket,24,512,9.96
linear,socket,24,1024,11.40
linear,socket,24,2048,17.06
linear,socket,25,1,4.17
linear,socket,25,2,4.11
linear,socket,25,4,4.12
linear,socket,25,8,4.14
linear,socket,25,16,4.08
linear,socket,25,32,4.41
linear,socket,25,64,4.42
linear,socket,25,128,9.25
linear,socket,25,256,9.51
linear,socket,25,512,9.85
linear,socket,25,1024,10.65
linear,socket,25,2048,15.83
linear,socket,26,1,4.38
linear,socket,26,2,4.19
linear,socket,26,4,4.20
linear,socket,26,8,4.27
linear,socket,26,16,4.37
linear,socket,26,32,4.73
linear,socket,26,64,4.67
linear,socket,26,128,9.60
linear,socket,26,256,9.91
linear,socket,26,512,10.15
linear,socket,26,1024,11.17
linear,socket,26,2048,16.84
linear,socket,27,1,4.42
linear,socket,27,2,4.45
linear,socket,27,4,4.52
linear,socket,27,8,4.37
linear,socket,27,16,4.38
linear,socket,27,32,4.70
linear,socket,27,64,4.73
linear,socket,27,128,9.17
linear,socket,27,256,10.24
linear,socket,27,512,10.62
linear,socket,27,1024,11.76
linear,socket,27,2048,17.29
linear,socket,28,1,4.58
linear,socket,28,2,4.67
linear,socket,28,4,4.64
linear,socket,28,8,4.59
linear,socket,28,16,4.55
linear,socket,28,32,4.93
linear,socket,28,64,4.85
linear,socket,28,128,11.82
linear,socket,28,256,10.22
linear,socket,28,512,10.93
linear,socket,28,1024,12.50
linear,socket,28,2048,18.77
linear,socket,29,1,5.25
linear,socket,29,2,5.32
linear,socket,29,4,5.31
linear,socket,29,8,5.23
linear,socket,29,16,5.23
linear,socket,29,32,5.71
linear,socket,29,64,5.65
linear,socket,29,128,10.19
linear,socket,29,256,10.59
linear,socket,29,512,11.32
linear,socket,29,1024,12.73
linear,socket,29,2048,19.12
linear,socket,30,1,5.03
linear,socket,30,2,5.14
linear,socket,30,4,5.32
linear,socket,30,8,5.15
linear,socket,30,16,5.11
linear,socket,30,32,5.55
linear,socket,30,64,5.44
linear,socket,30,128,10.84
linear,socket,30,256,11.26
linear,socket,30,512,12.38
linear,socket,30,1024,13.65
linear,socket,30,2048,19.34
linear,socket,31,1,5.04
linear,socket,31,2,5.11
linear,socket,31,4,5.02
linear,socket,31,8,4.96
linear,socket,31,16,4.97
linear,socket,31,32,5.41
linear,socket,31,64,5.36
linear,socket,31,128,10.90
linear,socket,31,256,11.25
linear,socket,31,512,11.90
linear,socket,31,1024,12.70
linear,socket,31,2048,19.11
linear,socket,32,1,5.71
linear,socket,32,2,5.71
linear,socket,32,4,5.77
linear,socket,32,8,5.80
linear,socket,32,16,5.72
linear,socket,32,32,5.99
linear,socket,32,64,6.05
linear,socket,32,128,11.59
linear,socket,32,256,12.03
linear,socket,32,512,12.84
linear,socket,32,1024,13.66
linear,socket,32,2048,21.10
linear,socket,33,1,6.28
linear,socket,33,2,6.22
linear,socket,33,4,6.51
linear,socket,33,8,6.57
linear,socket,33,16,6.59
linear,socket,33,32,6.85
