Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
linear,node,19,64,4.57
linear,node,19,128,5.39
linear,node,19,256,6.67
linear,node,19,512,7.01
linear,node,19,1024,7.93
linear,node,19,2048,8.88
linear,node,20,1,4.87
linear,node,20,2,5.04
linear,node,20,4,5.25
linear,node,20,8,4.97
linear,node,20,16,4.98
linear,node,20,32,5.01
linear,node,20,64,5.14
linear,node,20,128,6.13
linear,node,20,256,6.92
linear,node,20,512,7.40
linear,node,20,1024,8.11
linear,node,20,2048,9.19
linear,node,21,1,4.30
linear,node,21,2,4.66
linear,node,21,4,4.82
linear,node,21,8,4.79
linear,node,21,16,4.71
linear,node,21,32,5.10
linear,node,21,64,4.93
linear,node,21,128,5.87
linear,node,21,256,6.90
linear,node,21,512,7.00
linear,node,21,1024,8.03
linear,node,21,2048,9.43
linear,node,22,1,5.12
linear,node,22,2,5.21
linear,node,22,4,5.41
linear,node,22,8,5.38
linear,node,22,16,5.19
linear,node,22,32,5.34
linear,node,22,64,5.43
linear,node,22,128,6.36
linear,node,22,256,7.22
linear,node,22,512,7.29
linear,node,22,1024,8.04
linear,node,22,2048,9.70
linear,node,23,1,5.16
linear,node,23,2,5.42
linear,node,23,4,5.11
linear,node,23,8,5.10
linear,node,23,16,5.07
linear,node,23,32,5.25
linear,node,23,64,5.25
linear,node,23,128,6.12
linear,node,23,256,7.20
linear,node,23,512,7.16
linear,node,23,1024,8.15
linear,node,23,2048,9.83
linear,node,24,1,5.34
linear,node,24,2,5.59
linear,node,24,4,5.72
linear,node,24,8,5.66
linear,node,24,16,5.52
linear,node,24,32,5.75
linear,node,24,64,5.70
linear,node,24,128,6.71
linear,node,24,256,7.64
linear,node,24,512,7.66
linear,node,24,1024,8.51
linear,node,24,2048,10.30
linear,node,25,1,5.26
linear,node,25,2,5.28
linear,node,25,4,5.64
linear,node,25,8,5.47
linear,node,25,16,5.38
linear,node,25,32,5.51
linear,node,25,64,5.53
linear,node,25,128,6.33
linear,node,25,256,7.53
linear,node,25,512,7.60
linear,node,25,1024,8.35
linear,node,25,2048,10.47
linear,node,26,1,5.06
linear,node,26,2,5.68
linear,node,26,4,5.45
linear,node,26,8,5.46
linear,node,26,16,5.39
linear,node,26,32,5.68
linear,node,26,64,5.65
linear,node,26,128,6.87
linear,node,26,256,7.69
linear,node,26,512,7.75
linear,node,26,1024,8.53
linear,node,26,2048,10.81
linear,node,27,1,4.96
linear,node,27,2,5.21
linear,node,27,4,5.22
linear,node,27,8,5.15
linear,node,27,16,5.15
linear,node,27,32,5.42
linear,node,27,64,5.39
linear,node,27,128,6.58
linear,node,27,256,7.53
linear,node,27,512,7.69
linear,node,27,1024,8.53
linear,node,27,2048,10.72
linear,node,28,1,5.52
linear,node,28,2,6.02
linear,node,28,4,5.87
linear,node,28,8,5.85
linear,node,28,16,5.80
linear,node,28,32,6.07
linear,node,28,64,6.13
linear,node,28,128,7.67
linear,node,28,256,8.41
linear,node,28,512,8.99
linear,node,28,1024,9.60
linear,node,28,2048,11.66
linear,node,29,1,5.50
linear,node,29,2,6.07
linear,node,29,4,5.92
linear,node,29,8,5.89
linear,node,29,16,5.68
linear,node,29,32,5.81
linear,node,29,64,5.90
linear,node,29,128,7.04
linear,node,29,256,8.32
linear,node,29,512,8.38
linear,node,29,1024,9.11
linear,node,29,2048,11.31
linear,node,30,1,5.91
linear,node,30,2,5.89
linear,node,30,4,6.07
linear,node,30,8,6.21
linear,node,30,16,6.28
linear,node,30,32,6.43
linear,node,30,64,6.51
linear,node,30,128,7.71
linear,node,30,256,8.80
linear,node,30,512,8.70
linear,node,30,1024,9.37
linear,node,30,2048,11.98
linear,node,31,1,5.77
linear,node,31,2,5.82
linear,node,31,4,5.83
linear,node,31,8,5.86
linear,node,31,16,5.74
linear,node,31,32,5.96
