Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
default,node,20,2048,7.84
default,node,21,1,3.27
default,node,21,2,3.44
default,node,21,4,3.39
default,node,21,8,3.97
default,node,21,16,3.90
default,node,21,32,4.08
default,node,21,64,4.31
default,node,21,128,5.05
default,node,21,256,5.53
default,node,21,512,5.93
default,node,21,1024,6.77
default,node,21,2048,7.75
default,node,22,1,3.14
default,node,22,2,3.45
default,node,22,4,3.71
default,node,22,8,4.18
default,node,22,16,3.89
default,node,22,32,4.10
default,node,22,64,4.34
default,node,22,128,5.02
default,node,22,256,5.63
default,node,22,512,6.06
default,node,22,1024,6.79
default,node,22,2048,7.70
default,node,23,1,2.99
default,node,23,2,3.29
default,node,23,4,3.51
default,node,23,8,3.84
default,node,23,16,3.55
default,node,23,32,3.84
default,node,23,64,4.09
default,node,23,128,4.93
default,node,23,256,6.49
default,node,23,512,8.64
default,node,23,1024,12.71
default,node,23,2048,7.76
default,node,24,1,3.52
default,node,24,2,3.53
default,node,24,4,3.58
default,node,24,8,3.93
default,node,24,16,3.78
default,node,24,32,3.99
default,node,24,64,4.18
default,node,24,128,4.86
default,node,24,256,5.42
default,node,24,512,5.85
default,node,24,1024,6.73
default,node,24,2048,7.74
default,node,25,1,2.71
default,node,25,2,3.11
default,node,25,4,3.25
default,node,25,8,3.52
default,node,25,16,3.48
default,node,25,32,3.79
default,node,25,64,4.16
default,node,25,128,4.88
default,node,25,256,5.37
default,node,25,512,5.73
default,node,25,1024,6.57
default,node,25,2048,7.70
default,node,26,1,3.22
default,node,26,2,3.44
default,node,26,4,3.86
default,node,26,8,3.44
default,node,26,16,3.58
default,node,26,32,3.91
default,node,26,64,4.32
default,node,26,128,4.94
default,node,26,256,6.24
default,node,26,512,8.25
default,node,26,1024,11.84
default,node,26,2048,7.80
default,node,27,1,2.84
default,node,27,2,2.92
default,node,27,4,3.46
default,node,27,8,3.01
default,node,27,16,2.99
default,node,27,32,3.58
default,node,27,64,4.22
default,node,27,128,5.09
default,node,27,256,6.12
default,node,27,512,7.47
default,node,27,1024,10.29
default,node,27,2048,7.68
default,node,28,1,2.79
default,node,28,2,3.05
default,node,28,4,3.00
default,node,28,8,3.36
default,node,28,16,3.39
default,node,28,32,3.97
default,node,28,64,4.19
default,node,28,128,4.95
default,node,28,256,5.47
default,node,28,512,5.85
default,node,28,1024,6.60
default,node,28,2048,7.77
default,node,29,1,2.75
default,node,29,2,2.91
default,node,29,4,3.31
default,node,29,8,3.42
default,node,29,16,3.31
default,node,29,32,3.69
default,node,29,64,4.06
default,node,29,128,4.74
default,node,29,256,5.23
default,node,29,512,5.60
default,node,29,1024,6.34
default,node,29,2048,7.60
default,node,30,1,2.71
default,node,30,2,2.88
default,node,30,4,3.70
default,node,30,8,3.28
default,node,30,16,3.18
default,node,30,32,3.59
default,node,30,64,4.03
default,node,30,128,4.62
default,node,30,256,5.25
default,node,30,512,5.55
default,node,30,1024,6.44
default,node,30,2048,7.65
default,node,31,1,2.72
default,node,31,2,2.83
default,node,31,4,2.95
default,node,31,8,3.05
default,node,31,16,2.82
default,node,31,32,3.21
default,node,31,64,3.44
default,node,31,128,4.09
default,node,31,256,4.90
default,node,31,512,5.55
default,node,31,1024,6.36
default,node,31,2048,7.75
default,node,32,1,3.67
default,node,32,2,4.43
default,node,32,4,3.80
default,node,32,8,3.79
default,node,32,16,3.87
default,node,32,32,4.14
default,node,32,64,4.54
default,node,32,128,5.16
default,node,32,256,5.64
default,node,32,512,6.08
default,node,32,1024,6.84
default,node,32,2048,8.18
default,node,33,1,4.33
default,node,33,2,4.52
default,node,33,4,4.33
default,node,33,8,4.46
default,node,33,16,4.60
default,node,33,32,5.19
default,node,33,64,5.46
default,node,33,128,6.20
default,node,33,256,6.77
default,node,33,512,7.12
default,node,33,1024,7.83
default,node,33,2048,9.21
default,node,34,1,4.29
default,node,34,2,4.78
default,node,34,4,5.20
default,node,34,8,4.82
default,node,34,16,4.85
default,node,34,32,5.19
default,node,34,64,5.55
default,node,34,128,6.28
default,node,34,256,6.88
default,node,34,512,7.11
default,node,34,1024,7.78
default,node,34,2048,9.12
default,node,35,1,4.80
default,node,35,2,4.98
default,node,35,4,4.82
default,node,35,8,4.69
default,node,35,16,4.66
default,node,35,32,5.18
default,node,35,64,5.48
default,node,35,128,6.27
default,node,35,256,6.79
default,node,35,512,7.12
default,node,35,1024,7.77
default,node,35,2048,8.71
