Thu Feb  1 10:52:15 PM CET 2024
/u/dssc/avalentinis/HPC_final_project/exercise1/thin
thin008.hpc.rd.areasciencepark.it
Running MPI Bcast benchmark: map=socket, np=46, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=47, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=48, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=1, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=2, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=3, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=4, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=5, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=6, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=7, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=8, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=9, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=10, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=11, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=12, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=13, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=14, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=15, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=16, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=17, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=18, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=19, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=20, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=21, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=22, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=23, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=24, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=25, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=26, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=27, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=28, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=29, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=30, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=31, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=32, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=33, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=34, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=35, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=36, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=37, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=38, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=39, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=40, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=41, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=42, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=43, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=44, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=45, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=46, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=47, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=48, broadcast_algo= ...
