Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
chain,core,11,32768,19.96
chain,core,11,65536,34.36
chain,core,11,131072,63.02
chain,core,11,262144,120.30
chain,core,11,524288,231.30
chain,core,11,1048576,457.50
chain,core,12,1,0.91
chain,core,12,2,0.94
chain,core,12,4,0.90
chain,core,12,8,0.90
chain,core,12,16,0.91
chain,core,12,32,1.03
chain,core,12,64,1.01
chain,core,12,128,1.42
chain,core,12,256,1.48
chain,core,12,512,1.56
chain,core,12,1024,1.96
chain,core,12,2048,2.49
chain,core,12,4096,3.65
chain,core,12,8192,5.84
chain,core,12,16384,13.48
chain,core,12,32768,21.16
chain,core,12,65536,36.49
chain,core,12,131072,66.57
chain,core,12,262144,126.56
chain,core,12,524288,236.28
chain,core,12,1048576,450.46
chain,core,13,1,1.55
chain,core,13,2,1.19
chain,core,13,4,1.01
chain,core,13,8,0.96
chain,core,13,16,0.96
chain,core,13,32,1.08
chain,core,13,64,1.06
chain,core,13,128,1.53
chain,core,13,256,1.59
chain,core,13,512,1.68
chain,core,13,1024,2.14
chain,core,13,2048,2.85
chain,core,13,4096,4.23
chain,core,13,8192,6.44
chain,core,13,16384,14.62
chain,core,13,32768,23.50
chain,core,13,65536,40.61
chain,core,13,131072,74.22
chain,core,13,262144,140.85
chain,core,13,524288,273.10
chain,core,13,1048576,523.18
chain,core,14,1,0.97
chain,core,14,2,0.90
chain,core,14,4,0.84
chain,core,14,8,0.84
chain,core,14,16,0.86
chain,core,14,32,1.06
chain,core,14,64,1.00
chain,core,14,128,1.54
chain,core,14,256,1.61
chain,core,14,512,1.89
chain,core,14,1024,2.46
chain,core,14,2048,2.92
chain,core,14,4096,4.38
chain,core,14,8192,6.65
chain,core,14,16384,15.69
chain,core,14,32768,24.36
chain,core,14,65536,38.83
chain,core,14,131072,73.41
chain,core,14,262144,146.37
chain,core,14,524288,297.09
chain,core,14,1048576,509.86
chain,core,15,1,0.93
chain,core,15,2,0.93
chain,core,15,4,0.92
chain,core,15,8,0.92
chain,core,15,16,0.92
chain,core,15,32,1.12
chain,core,15,64,1.10
chain,core,15,128,1.61
chain,core,15,256,1.65
chain,core,15,512,1.77
chain,core,15,1024,2.59
chain,core,15,2048,3.12
chain,core,15,4096,4.78
chain,core,15,8192,7.27
chain,core,15,16384,17.53
chain,core,15,32768,28.02
chain,core,15,65536,49.18
chain,core,15,131072,93.53
chain,core,15,262144,179.94
chain,core,15,524288,355.05
chain,core,15,1048576,669.22
chain,core,16,1,1.17
chain,core,16,2,1.17
chain,core,16,4,1.17
chain,core,16,8,1.16
chain,core,16,16,1.16
chain,core,16,32,1.40
chain,core,16,64,1.36
chain,core,16,128,2.12
chain,core,16,256,2.21
chain,core,16,512,2.39
chain,core,16,1024,3.16
chain,core,16,2048,3.79
chain,core,16,4096,5.50
chain,core,16,8192,8.17
chain,core,16,16384,19.73
chain,core,16,32768,30.75
chain,core,16,65536,54.73
chain,core,16,131072,104.87
chain,core,16,262144,196.32
chain,core,16,524288,382.20
chain,core,16,1048576,687.68
chain,core,17,1,2.46
chain,core,17,2,2.36
chain,core,17,4,2.34
chain,core,17,8,2.35
chain,core,17,16,2.36
chain,core,17,32,2.52
