Size,Threads,Time
240000000,1,64.142704
240000000,1,63.959951
240000000,1,63.863609
240000000,1,64.059816
240000000,1,64.141183
240000000,2,35.810469
240000000,2,35.991639
240000000,2,35.803195
240000000,2,35.810727
240000000,2,35.791946
240000000,3,26.032331
240000000,3,25.788771
240000000,3,26.018760
240000000,3,25.982677
240000000,3,26.232279
240000000,4,23.531520
240000000,4,22.830109
240000000,4,22.661119
240000000,4,22.613923
240000000,4,22.642758
240000000,5,19.991842
240000000,5,20.172761
240000000,5,20.234943
240000000,5,20.499919
240000000,5,20.561378
240000000,6,19.180642
240000000,6,19.163134
240000000,6,19.531876
240000000,6,18.987180
240000000,6,19.075927
240000000,7,20.453896
240000000,7,20.390558
240000000,7,20.552946
240000000,7,20.452816
240000000,7,20.776094
240000000,8,20.167924
240000000,8,20.554838
240000000,8,20.624971
240000000,8,20.209131
240000000,8,20.557053
240000000,9,17.486321
240000000,9,17.601183
240000000,9,17.607932
240000000,9,17.513634
240000000,9,17.676916
240000000,10,18.836058
240000000,10,18.870638
240000000,10,18.647589
240000000,10,18.468567
240000000,10,18.698214
240000000,11,17.960638
240000000,11,17.795999
240000000,11,18.149219
240000000,11,17.830171
240000000,11,17.950993
240000000,12,17.419981
240000000,12,17.515031
240000000,12,17.442420
240000000,12,17.350528
240000000,12,17.376591
240000000,13,17.264867
240000000,13,17.063251
240000000,13,17.150980
240000000,13,17.187586
240000000,13,17.235312
240000000,14,17.268828
240000000,14,17.106922
240000000,14,17.165262
240000000,14,17.207582
240000000,14,17.632886
240000000,15,17.791783
240000000,15,17.677068
240000000,15,18.128470
240000000,15,18.025447
240000000,15,18.012140
240000000,16,17.204898
240000000,16,17.113769
240000000,16,17.196604
240000000,16,17.164987
240000000,16,17.189435
240000000,17,16.751969
240000000,17,17.259045
240000000,17,17.042137
240000000,17,16.967434
240000000,17,17.430104
240000000,18,17.020622
240000000,18,16.714637
240000000,18,17.006408
240000000,18,16.408713
240000000,18,17.253822
240000000,19,14.472858
240000000,19,14.673045
240000000,19,14.466831
240000000,19,14.248959
240000000,19,14.326340
240000000,20,15.596852
240000000,20,16.263178
240000000,20,15.643469
240000000,20,14.624861
240000000,20,15.074725
240000000,21,13.519343
240000000,21,12.878151
240000000,21,13.734142
240000000,21,13.709038
240000000,21,13.487475
240000000,22,13.454443
240000000,22,13.748184
240000000,22,13.814531
240000000,22,13.948464
240000000,22,13.617771
240000000,23,13.752017
240000000,23,13.403057
240000000,23,12.957108
240000000,23,13.432191
240000000,23,13.916836
240000000,24,12.029176
240000000,24,12.927501
240000000,24,12.557864
240000000,24,12.278682
240000000,24,12.352055
240000000,25,12.592033
240000000,25,12.996948
240000000,25,14.201955
240000000,25,12.363868
240000000,25,13.315067
240000000,26,12.418520
240000000,26,12.280893
240000000,26,12.565005
240000000,26,13.186921
240000000,26,12.628053
240000000,27,13.285082
240000000,27,13.255027
240000000,27,13.520821
240000000,27,13.568003
240000000,27,13.801460
240000000,28,11.850621
240000000,28,11.611258
240000000,28,12.403365
240000000,28,11.837310
240000000,28,11.728224
240000000,29,12.296151
240000000,29,12.556868
240000000,29,12.156228
240000000,29,12.260820
240000000,29,13.107303
240000000,30,11.965505
240000000,30,12.690453
240000000,30,12.118934
240000000,30,11.748743
240000000,30,11.542075
240000000,31,13.578666
240000000,31,13.205292
240000000,31,13.188280
240000000,31,13.365092
240000000,31,13.199874
240000000,32,12.170282
240000000,32,12.406418
240000000,32,12.889019
240000000,32,12.343917
240000000,32,12.401933
240000000,33,10.656600
240000000,33,11.404850
240000000,33,12.045332
240000000,33,11.882175
240000000,33,11.481567
240000000,34,10.801537
240000000,34,10.814756
240000000,34,10.394233
240000000,34,11.011202
240000000,34,10.640185
240000000,35,12.003994
240000000,35,11.817378
240000000,35,12.044056
240000000,35,12.575383
240000000,35,12.413131
240000000,36,11.301630
240000000,36,10.542469
240000000,36,10.839264
240000000,36,12.348524
240000000,36,10.765478
240000000,37,10.851113
240000000,37,10.483599
240000000,37,10.704330
240000000,37,10.593068
240000000,37,10.462122
240000000,38,11.790814
240000000,38,11.784526
240000000,38,12.118475
240000000,38,11.583301
240000000,38,11.502910
240000000,39,10.503203
240000000,39,10.508642
240000000,39,10.665388
240000000,39,10.370977
240000000,39,10.657388
240000000,40,10.597121
240000000,40,11.009730
240000000,40,10.218435
240000000,40,10.156756
240000000,40,9.852832
240000000,41,11.327997
240000000,41,11.599844
240000000,41,11.411658
240000000,41,10.806353
240000000,41,11.008029
240000000,42,13.487424
240000000,42,14.377306
240000000,42,13.496858
240000000,42,13.732822
240000000,42,14.233832
240000000,43,10.217027
240000000,43,9.404938
240000000,43,9.594704
240000000,43,9.544145
240000000,43,9.773749
240000000,44,11.087893
240000000,44,11.121602
240000000,44,11.965195
240000000,44,11.997666
240000000,44,11.879761
240000000,45,11.900078
240000000,45,11.029530
240000000,45,10.709651
240000000,45,10.905881
240000000,45,11.675810
240000000,46,12.397292
240000000,46,11.796104
240000000,46,12.995896
240000000,46,11.786649
240000000,46,10.951711
240000000,47,10.339468
240000000,47,12.230926
240000000,47,11.728447
240000000,47,10.063803
240000000,47,10.341314
240000000,48,13.471336
240000000,48,14.252927
240000000,48,14.580554
240000000,48,13.802085
240000000,48,13.498256
240000000,49,13.698386
240000000,49,12.369093
240000000,49,12.348374
240000000,49,12.718431
240000000,49,10.086565
240000000,50,9.443745
240000000,50,9.694220
240000000,50,9.787100
240000000,50,9.576419
240000000,50,9.818261
240000000,51,10.071403
240000000,51,10.244415
240000000,51,9.741865
240000000,51,9.793081
240000000,51,9.350538
240000000,52,9.330903
240000000,52,9.347097
240000000,52,9.370966
240000000,52,9.461130
240000000,52,9.730016
240000000,53,9.981612
240000000,53,11.541666
240000000,53,10.396374
240000000,53,9.994262
240000000,53,10.293279
240000000,54,10.904843
240000000,54,10.215817
240000000,54,10.319228
240000000,54,10.468938
240000000,54,10.154572
240000000,55,9.918386
240000000,55,8.725054
240000000,55,9.844100
240000000,55,10.148913
240000000,55,9.876334
240000000,56,11.545857
240000000,56,11.860528
240000000,56,12.087003
240000000,56,12.123241
240000000,56,11.819741
240000000,57,9.272479
240000000,57,9.662327
240000000,57,9.269695
240000000,57,9.486264
240000000,57,8.958729
240000000,58,9.333792
240000000,58,8.217639
240000000,58,8.300072
240000000,58,8.685705
240000000,58,8.705565
240000000,59,9.554675
240000000,59,9.826615
240000000,59,9.720614
240000000,59,9.888440
240000000,59,9.892956
240000000,60,10.096839
240000000,60,9.587629
240000000,60,9.788541
240000000,60,10.326929
240000000,60,9.684637
240000000,61,11.111855
240000000,61,10.103504
240000000,61,10.514021
240000000,61,10.243705
240000000,61,10.430391
240000000,62,9.475915
240000000,62,10.036419
240000000,62,10.409364
