Size,Threads,Time
64000000,54,2.116620
64000000,54,2.226537
64000000,54,2.115587
64000000,55,2.175366
64000000,55,2.321699
64000000,55,2.319988
64000000,55,2.330127
64000000,55,2.311077
64000000,56,2.068209
64000000,56,2.073590
64000000,56,2.039406
64000000,56,1.983799
64000000,56,2.102857
64000000,57,1.919050
64000000,57,2.039308
64000000,57,1.881842
64000000,57,1.908780
64000000,57,1.917933
64000000,58,2.937932
64000000,58,2.860485
64000000,58,2.926440
64000000,58,3.117550
64000000,58,3.067069
64000000,59,2.304050
64000000,59,2.271454
64000000,59,2.235407
64000000,59,2.247148
64000000,59,2.191612
64000000,60,2.368405
64000000,60,2.247414
64000000,60,2.436298
64000000,60,2.246894
64000000,60,2.342225
64000000,61,2.082116
64000000,61,2.118070
64000000,61,1.925475
64000000,61,2.022851
64000000,61,1.979331
64000000,62,1.964453
64000000,62,2.086725
64000000,62,2.101739
64000000,62,1.968899
64000000,62,2.066786
64000000,63,2.063799
64000000,63,2.007248
64000000,63,1.949591
64000000,63,2.010306
64000000,63,2.037862
64000000,64,2.329444
64000000,64,2.285209
64000000,64,2.322057
64000000,64,2.245674
64000000,64,2.365656
