Size,Threads,Time
64000000,1,16.030418
64000000,1,16.017826
64000000,1,15.953701
64000000,1,15.962107
64000000,1,15.933373
64000000,2,8.610860
64000000,2,8.574851
64000000,2,8.648183
64000000,2,8.722529
64000000,2,8.581809
64000000,3,6.497944
64000000,3,6.496100
64000000,3,6.444025
64000000,3,6.339578
64000000,3,6.380340
64000000,4,5.826989
64000000,4,5.864069
64000000,4,5.827546
64000000,4,5.845575
64000000,4,5.833590
64000000,5,4.881175
64000000,5,4.911842
64000000,5,4.909583
64000000,5,4.831505
64000000,5,4.832800
64000000,6,4.780319
64000000,6,4.733888
64000000,6,4.652851
64000000,6,4.691656
64000000,6,4.699870
64000000,7,4.628992
64000000,7,4.673942
64000000,7,4.646001
64000000,7,4.628780
64000000,7,4.680132
64000000,8,5.123160
64000000,8,5.149793
64000000,8,5.148565
64000000,8,5.118130
64000000,8,5.138122
64000000,9,4.374333
64000000,9,4.440485
64000000,9,4.417089
64000000,9,4.386055
64000000,9,4.395835
64000000,10,3.929158
64000000,10,3.940377
64000000,10,3.954558
64000000,10,3.993603
64000000,10,3.951568
64000000,11,4.143267
64000000,11,4.170770
64000000,11,4.123499
64000000,11,4.146482
64000000,11,4.126005
64000000,12,4.231734
64000000,12,4.230315
64000000,12,4.189351
64000000,12,4.156121
64000000,12,4.193876
64000000,13,3.983221
64000000,13,3.992977
64000000,13,3.983077
64000000,13,3.982573
64000000,13,3.994350
64000000,14,3.819027
64000000,14,3.723417
64000000,14,3.799687
64000000,14,3.791236
64000000,14,3.775422
64000000,15,4.161687
64000000,15,4.121470
64000000,15,4.123338
64000000,15,4.141337
64000000,15,4.144464
64000000,16,3.930644
64000000,16,3.866453
64000000,16,3.690815
64000000,16,3.742767
64000000,16,3.788826
64000000,17,3.867006
64000000,17,3.755896
64000000,17,3.848704
64000000,17,3.750689
64000000,17,3.813252
64000000,18,3.445266
64000000,18,3.453498
64000000,18,3.422693
64000000,18,3.492090
64000000,18,3.467951
64000000,19,3.538687
64000000,19,3.650504
64000000,19,3.726701
64000000,19,3.826473
64000000,19,3.705085
64000000,20,2.955058
64000000,20,3.357922
64000000,20,3.235622
64000000,20,3.008852
64000000,20,3.035298
64000000,21,3.145576
64000000,21,3.033342
64000000,21,2.953310
64000000,21,2.926214
64000000,21,3.009789
64000000,22,3.438947
64000000,22,3.371606
64000000,22,3.209225
64000000,22,3.421155
64000000,22,3.299231
64000000,23,2.846062
64000000,23,2.827791
64000000,23,2.764284
64000000,23,2.763932
64000000,23,2.650449
64000000,24,2.869030
64000000,24,2.919382
64000000,24,2.991248
64000000,24,2.871320
64000000,24,2.872294
64000000,25,3.515210
64000000,25,3.493276
64000000,25,3.492597
64000000,25,3.513218
64000000,25,3.538214
64000000,26,2.983707
64000000,26,2.953500
64000000,26,2.971624
64000000,26,2.816977
64000000,26,2.706809
64000000,27,2.713620
64000000,27,2.803763
64000000,27,2.575814
64000000,27,2.725391
64000000,27,2.510253
64000000,28,2.779316
64000000,28,2.694168
64000000,28,2.646534
64000000,28,2.743755
64000000,28,2.693549
64000000,29,2.972855
64000000,29,2.958853
64000000,29,2.961375
64000000,29,3.038076
64000000,29,2.854316
64000000,30,2.952334
64000000,30,3.042483
64000000,30,2.835815
64000000,30,2.967393
64000000,30,2.950616
64000000,31,2.892710
64000000,31,2.857781
64000000,31,2.877404
64000000,31,2.868601
64000000,31,2.717801
64000000,32,2.931641
64000000,32,2.750283
64000000,32,2.848753
64000000,32,2.881586
64000000,32,2.902665
64000000,33,2.589002
64000000,33,2.408829
64000000,33,2.633857
64000000,33,2.581616
64000000,33,2.593349
64000000,34,3.142342
64000000,34,3.156970
64000000,34,3.272405
64000000,34,3.123452
64000000,34,3.019712
64000000,35,2.459046
64000000,35,2.755404
64000000,35,2.640444
64000000,35,2.557152
64000000,35,2.585437
64000000,36,2.466568
64000000,36,2.496288
64000000,36,2.391885
64000000,36,2.405237
64000000,36,2.395908
64000000,37,2.443105
64000000,37,2.417791
64000000,37,2.494348
64000000,37,2.457082
64000000,37,2.602463
64000000,38,2.487156
64000000,38,2.520784
64000000,38,2.607059
64000000,38,2.571342
64000000,38,2.601866
64000000,39,2.415197
64000000,39,2.378075
64000000,39,2.336300
64000000,39,2.242349
64000000,39,2.256140
64000000,40,2.459477
64000000,40,2.402492
64000000,40,2.580500
64000000,40,2.536982
64000000,40,2.587020
64000000,41,2.316124
64000000,41,2.264921
64000000,41,2.193190
64000000,41,2.250925
64000000,41,2.308947
64000000,42,2.291118
64000000,42,2.302699
64000000,42,2.391319
64000000,42,2.405217
64000000,42,2.495790
64000000,43,2.481349
64000000,43,2.494174
64000000,43,2.526879
64000000,43,2.415713
64000000,43,2.613271
64000000,44,2.347499
64000000,44,2.217582
64000000,44,2.204365
64000000,44,2.172838
64000000,44,2.189912
64000000,45,2.098477
64000000,45,1.942157
64000000,45,1.986650
64000000,45,2.023839
64000000,45,2.040373
64000000,46,2.329799
64000000,46,2.256164
64000000,46,2.392246
64000000,46,2.291217
64000000,46,2.369795
64000000,47,2.541330
64000000,47,2.514179
64000000,47,2.725693
64000000,47,2.527449
64000000,47,2.628382
64000000,48,2.373069
64000000,48,2.483975
64000000,48,2.408318
64000000,48,2.298052
64000000,48,2.464510
64000000,49,2.145314
64000000,49,2.244400
64000000,49,2.236938
64000000,49,2.170137
64000000,49,2.114437
64000000,50,2.597917
64000000,50,2.412411
64000000,50,2.424883
64000000,50,2.600821
64000000,50,2.412319
64000000,51,2.216681
64000000,51,2.340268
64000000,51,2.179147
64000000,51,2.218636
64000000,51,2.151201
64000000,52,2.106665
64000000,52,2.197389
64000000,52,2.472182
64000000,52,2.248876
64000000,52,2.345758
64000000,53,2.365840
64000000,53,2.060974
64000000,53,2.332834
64000000,53,2.390375
64000000,53,2.248680
64000000,54,2.103859
64000000,54,2.227587
